Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
Frontrow,FRR,IEO on Gate.io,$150.6 K,$5 K,—,,NFT,0.01x,"Jan 18, 2022",0,https://icodrops.com/frontrow/
Froyo Games,FROYO,Strategic Sale (IDO on GameFi),$5.7 M,$6.81 K,10,,PancakeSwap IDO,0.01x,"Jan 18, 2022",0,https://icodrops.com/froyo-games/
Galaxy Heroes Coin,GHC,IEO on Gate.io,$618.22 K,$14.5 K,—,,Community,0.05x,"Jan 17, 2022",0,https://icodrops.com/galaxy-heroes-coin/
Nosana,NOS,IEO on Gate.io,$65.71 M,$27.45 M,11,,Artificial Intellig…,2.86x,"Jan 16, 2022",0,https://icodrops.com/nosana/
Highstreet,HIGH,Binance Launchpool,$11.45 M,$12.74 M,12,,Gaming,0.01x,"Dec 18, 2021",0,https://icodrops.com/highstreet/
Marvelous NFTs,MNFT,IDO on MetaPlay,$2.66 M,$1.29 K,—,,NFT,0.01x,"Jan 13, 2022",0,https://icodrops.com/marvelous-nfts/
Infinity Skies,ISKY,IDO on Gate.io,$4.14 M,$7.07 K,8,,Gaming,0.01x,"Jan 12, 2022",0,https://icodrops.com/infinity-skies/
Deesse,LOVE,IDO on Huobi Prime,$65 K,$716.8 K,2,,Gaming,0.07x,"Jan 12, 2022",0,https://icodrops.com/deesse/
Valhalla,VALH,IDO on A2DAO,$1.45 M,$6 M,,,Gaming,1x,"Jan 12, 2022",0,https://icodrops.com/valhalla/
WeWay,WWY,IDO on VelasPad,$2.6 M,$7.14 K,,,Launchpad,0.01x,"Jan 11, 2022",0,https://icodrops.com/weway/
Galaxy Fight Club,GCOIN,IDO on Polkastarter,$11.68 M,$141.65 K,16,,Gaming,0.01x,"Jan 7, 2022",0,https://icodrops.com/galaxy-fight-club/
Revuto,REVU,IEO on Gate.io,$9.93 M,$371.45 K,,,Cryptocurrency,0.01x,"Jan 6, 2022",0,https://icodrops.com/revuto/
